Wavelength (nm),OD
200,9.647469
205,10.225228
210,20.99
215,20.99
220,12.074554
225,20.99
230,20.99
235,13.199857
240,11.701192
245,11.022565
250,20.99
255,20.99
260,11.320703
265,20.99
270,11.588713
275,20.99
280,20.99
285,20.99
290,10.930073
295,11.672874
300,11.034586
305,20.99
310,10.734807
315,7.411965
320,4.848965
325,3.157813
330,2.150077
335,1.517227
340,1.12615
345,0.867925
350,0.706041
355,0.597506
360,0.51951
365,0.468451
370,0.413586
375,0.376392
380,0.349516
385,0.321396
390,0.292775
395,0.282836
400,0.259385
405,0.253038
410,0.244531
415,0.232546
420,0.221203
425,0.210171
430,0.197533
435,0.1888
440,0.177333
445,0.17058
450,0.157714
455,0.157004
460,0.156205
465,0.140964
470,0.144492
475,0.146725
480,0.144176
485,0.143241
490,0.135977
495,0.12891
500,0.128949
505,0.125779
510,0.131444
515,0.131371
520,0.136785
525,0.149228
530,0.156347
535,0.173878
540,0.196971
545,0.218149
550,0.239416
555,0.272202
560,0.314581
565,0.365751
570,0.427415
575,0.49713
580,0.586683
585,0.669857
590,0.778393
595,0.897767
600,1.029873
605,1.182814
610,1.348
615,1.528484
620,1.730887
625,1.954673
630,2.195233
635,2.455273
640,2.731093
645,3.036838
650,3.351676
655,3.695474
660,4.049883
665,4.431688
670,4.836212
675,5.256446
680,5.695944
685,6.15859
690,6.636156
695,7.119379
700,7.631969
705,8.151571
710,8.675549
715,9.249859
720,9.776355
725,10.293447
730,10.729999
735,11.382562
740,12.089985
745,12.456229
750,20.99
755,13.207239
760,20.99
765,20.99
770,20.99
775,20.99
780,12.778269
785,20.99
790,13.506135
795,13.412289
800,20.99
805,14.830622
810,13.828089
815,11.702214
820,20.99
825,20.99
830,20.99
835,13.29039
840,20.99
845,20.99
850,20.99
855,20.99
860,20.99
865,20.99
870,13.521033
875,20.99
880,20.99
885,20.99
890,20.99
895,20.99
900,11.870741
905,20.99
910,20.99
915,20.99
920,20.99
925,20.99
930,12.395794
935,20.99
940,20.99
945,20.99
950,20.99
955,20.99
960,12.773935
965,20.99
970,20.99
975,20.99
980,20.99
985,20.99
990,13.674689
995,20.99
1000,20.99
1005,20.99
1010,20.99
1015,13.861146
1020,13.071166
1025,20.99
1030,20.99
1035,20.99
1040,20.99
1045,20.99
1050,20.99
1055,20.99
1060,20.99
1065,20.99
1070,20.99
1075,20.99
1080,14.130143
1085,20.99
1090,20.99
1095,20.99
1100,14.557677
1105,12.684658
1110,12.147184
1115,12.747401
1120,12.488865
1125,13.692501
1130,13.038747
1135,11.727214
1140,11.430404
1145,11.399089
1150,11.301618
1155,11.145227
1160,10.813949
1165,10.513664
1170,10.232537
1175,10.126114
1180,9.939512
1185,9.78188
1190,9.662269
1195,9.466909
1200,9.307856
1205,9.170176
1210,9.013492
1215,8.85538
1220,8.689006
1225,8.542687
1230,8.416962
1235,8.258379
1240,8.090642
1245,7.956195
1250,7.83442
1255,7.666537
1260,7.527104
1265,7.402774
1270,7.238862
1275,7.115698
1280,6.997808
1285,6.839505
1290,6.716055
1295,6.594729
1300,6.453343
1305,6.335567
1310,6.231218
1315,6.131275
1320,5.93751
1325,5.714168
1330,5.543211
1335,5.457133
1340,5.512657
1345,5.648773
1350,5.659914
1355,5.431321
1360,5.034918
1365,4.781903
1370,5.000624
1375,5.144414
1380,4.811549
1385,4.425984
1390,4.42582
1395,4.405052
1400,4.366707
1405,4.185162
1410,4.050889
1415,3.999766
1420,3.962531
1425,3.918362
1430,3.808944
1435,3.705011
1440,3.644981
1445,3.568786
1450,3.463242
1455,3.415002
1460,3.387828
1465,3.331606
1470,3.250946
1475,3.164131
1480,3.09255
1485,3.032303
1490,2.974635
1495,2.900022
1500,2.830937
1505,2.752198
1510,2.677176
1515,2.660155
1520,2.618036
1525,2.531852
1530,2.455321
1535,2.416848
1540,2.377431
1545,2.347255
1550,2.27814
1555,2.188354
1560,2.147104
1565,2.131551
1570,2.09894
1575,2.051831
1580,1.975304
1585,1.940059
1590,1.923697
1595,1.894417
1600,1.826721
1605,1.785397
1610,1.725117
1615,1.710889
1620,1.692991
1625,1.641638
1630,1.573373
1635,1.556098
1640,1.566035
1645,1.541453
1650,1.520168
1655,1.429153
1660,1.341792
1665,1.341839
1670,1.359927
1675,1.382407
1680,1.354281
1685,1.275846
1690,1.253542
1695,1.251817
1700,1.250375
1705,1.206146
1710,1.138491
1715,1.130942
1720,1.158494
1725,1.148418
1730,1.10745
1735,1.07011
1740,1.022213
1745,0.989586
1750,0.978086
1755,1.020842
1760,1.010103
1765,0.977314
1770,0.923176
1775,0.881322
1780,0.840323
1785,0.84687
1790,0.833705
1795,0.827698
1800,0.73911
