Wavelength (nm),OD,% Transmission
190,66.54624458,2.84286E-65
191,66.88023198,1.31755E-65
192,66.8809485,1.31538E-65
193,66.92158806,1.19788E-65
194,67.04588107,8.99744E-66
195,66.93824065,1.15281E-65
196,66.9463038,1.13161E-65
197,67.0157669,9.64346E-66
198,67.0072242,9.83503E-66
199,67.08286234,8.263E-66
200,67.1523844,7.0407E-66
201,67.12280985,7.53685E-66
202,67.20760818,6.2E-66
203,67.26489143,5.43386E-66
204,67.34774379,4.4901E-66
205,67.34721307,4.49559E-66
206,67.41719131,3.82656E-66
207,67.43435458,3.67829E-66
208,67.52866471,2.9603E-66
209,67.56887035,2.69854E-66
210,67.56197433,2.74174E-66
211,67.66137469,2.18085E-66
212,67.65643354,2.2058E-66
213,67.72016887,1.90472E-66
214,67.68641309,2.05867E-66
215,67.73398538,1.84508E-66
216,67.73475866,1.8418E-66
217,67.79148447,1.61628E-66
218,67.80225686,1.57668E-66
219,67.76984513,1.69885E-66
220,67.83430922,1.4645E-66
221,67.78131624,1.65456E-66
222,67.82583996,1.49334E-66
223,67.8064392,1.56157E-66
224,67.80181515,1.57828E-66
225,67.790887,1.6185E-66
226,67.82475404,1.49708E-66
227,67.78323106,1.64729E-66
228,67.76226262,1.72877E-66
229,67.7983371,1.59097E-66
230,67.79173036,1.61536E-66
231,67.81344648,1.53657E-66
232,67.77802066,1.66717E-66
233,67.7617141,1.73096E-66
234,67.77683127,1.67174E-66
235,67.77789827,1.66764E-66
236,67.78767264,1.63052E-66
237,67.78535616,1.63924E-66
238,67.76038341,1.73627E-66
239,67.77474288,1.6798E-66
240,67.80511518,1.56634E-66
241,67.80113868,1.58074E-66
242,67.80883356,1.55298E-66
243,67.78851489,1.62737E-66
244,67.81577297,1.52836E-66
245,67.81700241,1.52404E-66
246,67.80450547,1.56854E-66
247,67.80571377,1.56418E-66
248,67.81589202,1.52795E-66
249,67.80127553,1.58025E-66
250,67.83989791,1.44578E-66
251,67.8422244,1.43806E-66
252,67.84122972,1.44135E-66
253,67.85508406,1.3961E-66
254,67.86523561,1.36384E-66
255,67.87141065,1.34459E-66
256,67.87158755,1.34404E-66
257,67.88996804,1.28834E-66
258,67.89465217,1.27452E-66
259,67.9384805,1.15218E-66
260,67.94935413,1.12369E-66
261,50.08394904,8.24235E-49
262,45.57968051,2.6322E-44
263,43.85090983,1.40958E-42
264,42.51456175,3.05801E-41
265,41.47298977,3.36519E-40
266,40.56853304,2.70064E-39
267,39.7298797,1.8626E-38
268,38.99667317,1.00769E-37
269,38.29599297,5.05833E-37
270,37.68311758,2.07435E-36
271,37.0827368,8.26539E-36
272,36.49887117,3.17051E-35
273,35.9376022,1.15451E-34
274,35.43863727,3.64219E-34
275,34.97188754,1.06687E-33
276,34.48824455,3.24904E-33
277,34.0628009,8.65365E-33
278,33.64551451,2.26196E-32
279,33.24495022,5.68918E-32
280,32.8455622,1.42705E-31
281,32.4753373,3.34705E-31
282,32.10214838,7.90409E-31
283,31.75187562,1.77062E-30
284,31.41310367,3.86275E-30
285,31.10589528,7.83619E-30
286,30.77714721,1.67052E-29
287,30.45120517,3.5383E-29
288,30.18004573,6.60624E-29
289,29.84948708,1.41421E-28
290,29.60349071,2.49178E-28
291,29.36318329,4.33328E-28
292,29.05022254,8.90794E-28
293,28.79904716,1.58837E-27
294,28.57282633,2.67408E-27
295,28.30338126,4.973E-27
296,28.05584207,8.79342E-27
297,27.87781086,1.32492E-26
298,27.68217519,2.07886E-26
299,27.44306916,3.60521E-26
300,27.24555879,5.68121E-26
301,27.08759728,8.1734E-26
302,26.89692723,1.26786E-25
303,26.77171681,1.69154E-25
304,26.56380686,2.73019E-25
305,26.41578562,3.83897E-25
306,26.34465181,4.52218E-25
307,26.16184743,6.88894E-25
308,25.89818722,1.26419E-24
309,25.36382728,4.32686E-24
310,24.54730128,2.83595E-23
311,23.57523003,2.65932E-22
312,22.53031384,2.94908E-21
313,21.55583049,2.7808E-20
314,20.63045421,2.34178E-19
315,19.7793635,1.66202E-18
316,19.01328121,9.69882E-18
317,18.30635623,4.93905E-17
318,17.66439834,2.16572E-16
